"","x"
"296","Maine-Fort Kent"
"297","Malone University"
"298","Manchester"
"299","Manhattan"
"300","Marian"
"301","Marist"
"302","Marquette"
"303","Mars Hill"
"304","Marshall"
"305","Mary Washington"
"306","Marygrove College"
"307","Maryland"
"308","Maryland-Eastern Shore"
"309","Maryville (MO)"
"310","Massachusetts"
"311","Masters College"
"312","McMurry"
"313","McNeese"
"314","Medgar Evers"
"315","Memphis"
"316","MEN'S BASKETBALL CHAMPIONSHIP - E"
"317","MEN'S BASKETBALL CHAMPIONSHIP - EA"
"318","MEN'S BASKETBALL CHAMPIONSHIP - EAS"
"319","MEN'S BASKETBALL CHAMPIONSHIP - EAST"
"320","MEN'S BASKETBALL CHAMPIONSHIP - EAST "
"321","MEN'S BASKETBALL CHAMPIONSHIP - EAST R"
"322","MEN'S BASKETBALL CHAMPIONSHIP - EAST REG"
"323","MEN'S BASKETBALL CHAMPIONSHIP - EAST REGION - "
"324","MEN'S BASKETBALL CHAMPIONSHIP - FINAL FOUR"
"325","MEN'S BASKETBALL CHAMPIONSHIP - M"
"326","MEN'S BASKETBALL CHAMPIONSHIP - MI"
"327","MEN'S BASKETBALL CHAMPIONSHIP - MID"
"328","MEN'S BASKETBALL CHAMPIONSHIP - MIDW"
"329","MEN'S BASKETBALL CHAMPIONSHIP - MIDWE"
"330","MEN'S BASKETBALL CHAMPIONSHIP - MIDWES"
"331","MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST"
"332","MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST R"
"333","MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST RE"
"334","MEN'S BASKETBALL CHAMPIONSHIP - NATIONAL CHAMP"
"335","MEN'S BASKETBALL CHAMPIONSHIP - NATIONAL CHAMPI"
"336","MEN'S BASKETBALL CHAMPIONSHIP - SO"
"337","MEN'S BASKETBALL CHAMPIONSHIP - SOU"
"338","MEN'S BASKETBALL CHAMPIONSHIP - SOUT"
"339","MEN'S BASKETBALL CHAMPIONSHIP - SOUTH"
"340","MEN'S BASKETBALL CHAMPIONSHIP - SOUTH "
"341","MEN'S BASKETBALL CHAMPIONSHIP - SOUTH R"
"342","MEN'S BASKETBALL CHAMPIONSHIP - SOUTH REGI"
"343","MEN'S BASKETBALL CHAMPIONSHIP - SOUTH REGION - "
"344","MEN'S BASKETBALL CHAMPIONSHIP - W"
"345","MEN'S BASKETBALL CHAMPIONSHIP - WE"
"346","MEN'S BASKETBALL CHAMPIONSHIP - WES"
"347","MEN'S BASKETBALL CHAMPIONSHIP - WEST"
"348","MEN'S BASKETBALL CHAMPIONSHIP - WEST "
"349","MEN'S BASKETBALL CHAMPIONSHIP - WEST R"
"350","MEN'S BASKETBALL CHAMPIONSHIP - WEST RE"
"351","MEN'S BASKETBALL CHAMPIONSHIP - WEST REG"
"352","MEN'S BASKETBALL CHAMPIONSHIP - WEST REGIO"
"353","Menlo College"
"354","Mercer"
"355","Mercy"
"356","Methodist"
"357","Miami"
"358","Miami (OH)"
"359","Michigan"
"360","Michigan-Dearborn"
"361","Michigan State"
"362","Mid-Atlantic Christian"
"363","Middle Georgia St"
"364","Middle Tennessee"
"365","Miles"
"366","Milligan"
"367","Millsaps"
"368","Milwaukee"
"369","MINN Duluth"
"370","Minne Morris"
"371","Minnesota"
"372","Mississippi College"
"373","Mississippi State"
"374","Mississippi Valley State"
"375","Missouri"
"376","Missouri State"
"377","Missouri Valley"
"378","MIT"
"379","Mobile"
"380","Molloy"
"381","Monmouth"
"382","Montana"
"383","Montana-Western"
"384","Montana State"
"385","Montreat College"
"386","Morehead State"
"387","Morgan State"
"388","Mount St Mary's"
"389","Mount St. Vincent"
"390","Mt St Joseph"
"391","Multnomah"
"392","Murray State"
"393","Navy"
"394","NC State"
"395","NC Wesleyan"
"396","Nebraska"
"397","Nevada"
"398","New Hampshire"
"399","New Hope Christian College"
"400","New Mexico"
"401","New Mexico Highlands"
"402","New Mexico State"
"403","New Orleans"
"404","Niagara"
"405","Nicholls"
"406","NJIT"
"407","Norfolk State"
"408","North Carolina"
"409","North Carolina A&T"
"410","North Carolina Central"
"411","North Dakota"
"412","North Dakota State"
"413","North Florida"
"414","North Greenville"
"415","North Texas"
"416","Northeastern"
"417","Northern Arizona"
"418","Northern Colorado"
"419","Northern Illinois"
"420","Northern Iowa"
"421","Northern Kentucky"
"422","Northern Michigan"
"423","Northern New Mexico"
"424","Northland College"
"425","Northwest Christian"
"426","Northwest Indian"
"427","Northwestern"
"428","Northwestern State"
"429","Notre Dame"
"430","Notre Dame CA"
"431","Oakland"
"432","Oakland City"
"433","Oakwood"
"434","Oberlin College"
"435","Ohio"
"436","Ohio Dominican"
"437","Ohio State"
"438","Oklahoma"
"439","Oklahoma State"
"440","Old Dominion"
"441","Ole Miss"
"442","Omaha"
"443","Oneonta State"
"444","Oral Roberts"
"445","Oregon"
"446","Oregon State"
"447","Oregon Tech"
"448","Ouachita Baptist"
"449","Our Lady of the Lake"
"450","Pacific"
"451","Pacific Lutheran"
"452","Pacific Union"
"453","Paine"
"454","Paul Quinn"
"455","Penn"
"456","Penn State"
"457","Pensacola Christian College"
"458","Pepperdine"
"459","Piedmont"
"460","Piedmont International University"
"461","Pine Manor"
"462","Pittsburgh"
"463","Pittsburgh-Bradford"
"464","Point Loma"
"465","Portland"
"466","Portland State"
"467","Prairie View A&M"
"468","Presbyterian College"
"469","Princeton"
"470","Providence"
"471","Purdue"
"472","Purdue-Calumet"
"473","Purdue-North Central"
"474","Queens College"
"475","Quincy"
"476","Quinnipiac"
"477","Radford"
"478","Randolph College"
"479","Regis Univ"
"480","Reinhardt"
"481","Rhode Island"
"482","Rice"
"483","Richmond"
"484","Rider"
"485","Rio Grande"
"486","Roanoke"
"487","Robert Morris"
"488","Rochester College"
"489","Rockhurst"
"490","Roosevelt"
"491","Rowan University"
"492","Rutgers"
"493","Rutgers-Newark"
"494","Ryerson"
"495","Sacramento State"
"496","Sacred Heart"
"497","Saint Joseph's"
"498","Saint Louis"
"499","Saint Mary's"
"500","Saint Peter's"
"501","Sam Houston State"
"502","Samford"
"503","San Diego"
"504","San Diego Christian"
"505","San Diego State"
"506","San Francisco"
"507","San Francisco St."
"508","San José State"
"509","Santa Clara"
"510","Savannah State"
"511","Schreiner"
"512","SE Oklahoma State"
"513","Seattle"
"514","Selma University"
"515","Seton Hall"
"516","Seton Hill"
"517","Shenandoah"
"518","Siena"
"519","Siena Heights"
"520","Silverlake"
"521","Simpson College"
"522","SIU Edwardsville"
"523","SMU"
"524","South Alabama"
"525","South Carolina"
"526","South Carolina State"
"527","South Carolina Upstate"
"528","South Dakota"
"529","South Dakota School of Mines"
"530","South Dakota State"
"531","South Florida"
"532","Southeast Missouri State"
"533","Southeastern Louisiana"
"534","Southern"
"535","Southern Illinois"
"536","Southern Mississippi"
"537","Southern Utah"
"538","Southwest"
"539","Spring Hill"
"540","St Bonaventure"
"541","St Francis (BKN)"
"542","St Francis (PA)"
"543","St John's"
