"","Team","City","State","Type","Primary.Conference","lon","lat"
"327","Demon Deacons","Winston-Salem","North Carolina","Private/Non-Sectarian","Atlantic Coast Conference",-80.244216,36.0998596
"328","Huskies","Seattle","Washington","State","Pac-12 Conference",-122.3320708,47.6062095
"329","Cougars","Pullman","Washington","State","Pac-12 Conference",-117.1817377,46.7297771
"330","Wildcats","Ogden","Utah","State","Big Sky Conference",-111.9738304,41.223
"331","Mountaineers","Morgantown","West Virginia","State","Big 12 Conference",-79.9558968,39.629526
"336","Shockers","Wichita","Kansas","State","Missouri Valley Conference",-97.330053,37.6871761
"337","Tribe","Williamsburg","Virginia","State","Colonial Athletic Association",-76.7074571,37.2707022
"338","Eagles","Rock Hill","South Carolina","State","Big South Conference",-81.0250784,34.9248667
"340","Badgers","Madison","Wisconsin","State","Big Ten Conference",-89.4012302,43.0730517
"342","Terriers","Spartanburg","South Carolina","Private/Mehodist","Southern Conference",-81.9320482,34.9495672
"343","Raiders","Fairborn","Ohio","State","Horizon League",-84.0193789,39.8208925
"344","Cowboys and Cowgirls","Laramie","Wyoming","State","Mountain West Conference",-105.5911007,41.3113669
"345","Musketeers","Cincinnati","Ohio","Private/Catholic","Big East Conference",-84.5120196,39.1031182
"346","Bulldogs","New Haven","Connecticut","Private/Non-Sectarian","Ivy League",-72.9278835,41.308274
"347","Penguins","Youngstown","Ohio","State","Horizon League",-80.6495194,41.0997803
