"","uni_names","id"
"257","SIU ED","2565"
"258","SMU","2567"
"259","South Alabama","6"
"260","South Carolina","2579"
"261","South Dakota","233"
"262","South Dakota St","2571"
"263","Southern","2582"
"264","Southern Miss","2572"
"265","Southern Utah","253"
"266","St Bonaventure","179"
"267","St Francis (BKN)","2597"
"268","St Francis (PA)","2598"
"269","St John's","2599"
"270","St Peter's","2612"
"271","Stanford","24"
"272","Stetson","56"
"273","Stony Brook","2619"
"274","Syracuse","183"
"275","TCU","2628"
"276","Temple","218"
"277","Tenn Tech","2635"
"278","Tennessee","2633"
"279","Tennessee St","2634"
"280","Texas","251"
"281","Texas A&M","245"
"282","Texas A&M-CC","357"
"283","Texas Southern","2640"
"284","Texas State","326"
"285","Texas Tech","2641"
"286","The Citadel","2643"
"287","Toledo","2649"
"288","Towson","119"
"289","Troy","2653"
"290","Tulane","2655"
"291","Tulsa","202"
"292","UAB","5"
"293","UC Davis","302"
"294","UC Irvine","300"
"295","UC Riverside","27"
"296","UCF","2116"
"297","UCLA","26"
"298","UConn","41"
"299","UCSB","2540"
"300","UIC","82"
"301","UL Monroe","2433"
"302","UMass","113"
"303","UMass Lowell","2349"
"304","UMBC","2378"
"305","UMKC","140"
"306","UNC","153"
"307","UNC Asheville","2427"
"308","UNC Wilmington","350"
"309","UNCG","2430"
"310","UNH","160"
"311","UNLV","2439"
"312","URI","227"
"313","USC","30"
"314","USC Upstate","2908"
"315","USF","58"
"316","UT-Arlington","250"
"317","UT Martin","2630"
"318","UT Rio Grande","292"
"319","Utah","254"
"320","Utah State","328"
"321","Utah Valley","3084"
"322","UTEP","2638"
"323","UTSA","2636"
"324","UVA","258"
"325","Valparaiso","2674"
"326","Vanderbilt","238"
"327","VCU","2670"
"328","Vermont","261"
"329","Villanova","222"
"330","Virginia Tech","259"
"331","VMI","2678"
"332","W Carolina","2717"
"333","W Illinois","2710"
"334","W Kentucky","98"
"335","W Michigan","2711"
"336","Wagner","2681"
"337","Wake Forest","154"
"338","Washington","264"
"339","Washington St","265"
"340","Weber State","2692"
"341","West Virginia","277"
"342","Wichita State","2724"
"343","William & Mary","2729"
"344","Winthrop","2737"
"345","Wisconsin","275"
"346","Wofford","2747"
"347","Wright State","2750"
"348","Wyoming","2751"
"349","Xavier","2752"
"350","Yale","43"
"351","Youngstown St","2754"
